model,problem,chunk_idx,n_chunks,rel_pos,in_degree,out_degree,n_descendants,frac_descendants,cf_kl,cf_acc,resamp_kl,overdet,tags
deepseek-r1-distill-llama-8b,problem_1591,0,101,0.0,0,0,0,0.0,5.695052011528484,-0.05999999999999994,1.4697517487487954,0.75,problem_setup
deepseek-r1-distill-llama-8b,problem_1591,1,101,0.01,0,0,0,0.0,0.0,0.0,2.10462012757044,0.99,problem_setup
deepseek-r1-distill-llama-8b,problem_1591,2,101,0.02,0,1,24,0.24,0.18147829803710433,0.05608695652173912,2.3424004863244883,0.88,problem_setup
deepseek-r1-distill-llama-8b,problem_1591,3,101,0.03,0,2,3,0.03,2.2189824949247723,-0.034237288135593236,1.3036734535040135,0.41000000000000003,problem_setup
deepseek-r1-distill-llama-8b,problem_1591,4,101,0.04,1,0,0,0.0,0.8566837085950667,0.08205128205128209,0.6695039370366229,0.49,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,5,101,0.05,0,0,0,0.0,0.27752977845439863,0.11888888888888882,1.7284888523609843,0.6599999999999999,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,6,101,0.06,0,0,0,0.0,0.0,0.0,1.5354581648947354,0.98,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,7,101,0.07,0,0,0,0.0,0.0,0.0,1.2794993779452497,0.99,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,8,101,0.08,0,1,24,0.24,0.0,0.0,1.316902123060501,0.99,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,9,101,0.09,0,0,0,0.0,0.0,0.0,1.7130508535287885,0.99,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,10,101,0.1,1,2,23,0.23,1.1290556865115378,0.02468085106382978,1.4909709119486512,0.43999999999999995,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,11,101,0.11,1,2,23,0.23,2.8347067608140724,-0.10870967741935489,1.8862341612521294,0.17000000000000004,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,12,101,0.12,2,2,20,0.2,0.7455903568010528,0.01041666666666663,0.7168516108335194,0.09999999999999998,active_computation
deepseek-r1-distill-llama-8b,problem_1591,13,101,0.13,1,1,1,0.01,1.1219917097246006,-0.16374999999999995,0.8631025400449244,0.22999999999999998,uncertainty_management
deepseek-r1-distill-llama-8b,problem_1591,14,101,0.14,1,0,0,0.0,0.38558393406641955,0.020123456790123395,0.5123548053366589,0.13,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,15,101,0.15,0,2,19,0.19,0.6185680849181499,0.16569892473118275,2.0485140776556348,0.87,fact_retrieval
deepseek-r1-distill-llama-8b,problem_1591,16,101,0.16,2,1,17,0.17,1.3639426753561863,0.010704055480174945,1.3592055137657855,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,17,101,0.17,1,1,17,0.17,3.7316383441800074,-0.13714285714285723,2.963211088468496,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,18,101,0.18,2,1,16,0.16,0.4334921202336915,0.38,1.4945241415143216,0.0,active_computation
deepseek-r1-distill-llama-8b,problem_1591,19,101,0.19,1,1,15,0.15,1.3232031649649065,-0.1313043478260869,1.195925747339596,0.06999999999999995,active_computation
deepseek-r1-distill-llama-8b,problem_1591,20,101,0.2,1,2,14,0.14,1.7253735439588092,0.05809523809523809,1.7565945075009834,0.06999999999999995,active_computation
deepseek-r1-distill-llama-8b,problem_1591,21,101,0.21,1,0,0,0.0,1.429322577017311,-0.018358208955223776,1.7131941500390633,0.37,plan_generation
deepseek-r1-distill-llama-8b,problem_1591,22,101,0.22,0,0,0,0.0,1.4754354542491557,-0.06333333333333335,1.3608913536045013,0.13,uncertainty_management
